;;;
;DO-26;86400 - 86499 ;г. Енакиево
;DO-27;;г. Ждановка
;DO-28;86300 - 86399 ;г. Кировское
;DO-29;85100 - 85129 ;г. Константиновка
;DO-30;85130 - 85199 ;Константиновский р-н
;DO-31;84300 - 84399 ;г. Краматорск
;DO-32;84400 - 84409 ;г. Красный Лиман
;DO-33;84410 - 84499 ;Краснолиманский р-н
;DO-34;85300 - 85309 ;г. Красноармейск
;DO-35;85310 - 85399 ;Красноармейский р-н
;DO-36;86100 - 86199 ;г. Макеевка. Центрально-городской р-н
;DO-37;87400 - 87470 ;Мангушский р-н
;DO-38;85600 - 85699 ;Марьинский р-н
;DO-39;87500 - 87585 ;г. Мариуполь. Жовтневый р-н
;DO-40;87600 - 87670 ;Новоазовский р-н
;DO-41;85483 – 85484;г. Новогродовка
;DO-42;85400 - 85499 ;г. Селидово
;DO-43;84100 - 84129 ;г. Славянск
;DO-44;84130 - 84199 ;Славянский р-н
;DO-45;86500 - 86599 ;г. Снежное
;DO-46;87200 - 87299 ;Старобешевский р-н
;DO-47;87100 - 87199 ;Тельмановский р-н
;DO-48;86600 - 86699 ;г. Торез
;DO-49;85670 - 85671 ;г. Угледар
;DO-50;86700 - 86799 ;г. Харцызск
;DO-51;86200 - 86219 ;г. Шахтерск
;DO-52;86220 - 86299 ;Шахтерский р-н
;DO-53;86000 - 86015 ;г. Ясиноватая
;DO-54;86016 - 86099 ;Ясиноватский р-н
;DO-55;84600 - 84699 ;г. Горловка. Калининский р-н
;DO-56;84600 - 84699 ;г. Горловка. Никитовский р-н
;DO-57;86100 - 86199 ;г. Макеевка. Горняцкий р-н
;DO-58;86100 - 86199 ;г. Макеевка. Советский р-н
;DO-59;87500 - 87599 ;г. Мариуполь. Ильичевский р-н
;DO-60;87500 - 87599 ;г. Мариуполь. Орджоникидзевский р-н
;DO-61;87500 - 87599 ;г. Мариуполь. Приморский р-н
;DO-62;86100 - 86199 ;г. Макеевка. Червоногвардейский р-н.
;DO-63;86100- 86199 ;г. Макееевка, Кировский р-н
;;;ХАРЬКОВСКАЯ ОБЛАСТЬ - UR5L
;HA-01;61000 - 61499 ;г. Харьков. Дзержинский р-н
;HA-02;;г. Харьков. Киевский р-н
;HA-03;;г. Харьков. Коминтерновский р-н
;HA-04;;г. Харьков. Ленинский р-н
;HA-05;;г. Харьков. Московский р-н
;HA-06;;г. Харьков. Октябрьский р-н
;HA-07;;г. Харьков. Орджоникидзевский р-н
;HA-08;;г. Харьков. Фрунзенский р-н
;HA-09;;г. Харьков. Червонозаводской р-н
;HA-10;64200 - 64282 ;Балаклейский р-н
;HA-11;64700 - 64782 ;Барвенковский р-н
;HA-12;64800 - 64873 ;Близнюковский р-н
;HA-13;62100 - 62165 ;Богодуховский р-н
;HA-14;63800 - 63842 ;Боровский р-н
;HA-15;63000 - 63055 ;Валковский р-н
;HA-16;62600 - 62655 ;Велико-Бурлукский р-н
;HA-17;62500 - 62573 ;Волчанский р-н
;HA-18;62700 - 62745 ;Двуречнинский р-н
;HA-19;62300 - 62371 ;Дергачевский р-н
;HA-20;64400 - 64454 ;Зачепиловский р-н
;HA-21;63400 - 63463 ;Змиевской р-н
;HA-22;62200 - 62252 ;Золочевский р-н
;HA-23;64300 - 64318 ;г. Изюм
;HA-24;64319 - 64371 ;Изюмский р-н
;HA-25;64000 - 64055 ;Кегичевский р-н
;HA-26;63100 - 63131 ;Коломакский р-н
;HA-27;63300 - 63375 ;Красноградский р-н
;HA-28;62000 - 62055 ;Краснокутский р-н
;HA-29;63700 - 63708 ;г. Купянск
;HA-30;63709 - 63758 ;Купянский р-н
;HA-31;64600 - 64609 ;г. Лозовая
;HA-32;64610 - 64683 ;Лозовский р-н
;HA-33;62451 - 62453 ;г. Люботин
;HA-34;63200 - 63262 ;Нововодолажский р-н
;HA-35;64100 - 64109 ;г. Первомайск
;HA-36;64110 - 64152 ;Первомайский р-н
;HA-37;62800 - 62822 ;Печенежский р-н
;HA-38;64500 - 64563 ;Сахновщинский р-н
;HA-39;62400 - 62493 ;Харьковский р-н
;HA-40;63500 - 63509 ;г. Чугуев
;HA-41;63510 - 63552 ;Чугуевский р-н
;HA-42;63600 - 63671 ;Шевченковский р-н
;;;ХЕРСОНСКАЯ ОБЛАСТЬ - UR5G
;HE-01;73000 - 73480 ;г. Херсон. Днепровский р-н
;HE-02;;г. Херсон. Комсомольский р-н
;HE-03;;г. Херсон. Суворовский р-н
;HE-04;74300 - 74372 ;Бериславский р-н
;HE-05;75000 - 75053 ;Белозерский р-н
;HE-06;74500 - 74532 ;Великолепетихинский р-н
;HE-07;74100 - 74154 ;Великоалександровский р-н
;HE-08;74400 - 74440 ;Верхнерогачикский р-н
;HE-09;74000 - 74043 ;Великопольский р-н
;HE-10;75500 - 75583 ;Генический р-н
;HE-11;75600 - 75665 ;Голопристанский р-н
;HE-12;74600 - 74642 ;Горностаевский р-н
;HE-13;75400 - 75443 ;Ивановкский р-н
;HE-14;75800 - 75841 ;Каланчакский р-н
;HE-15;74800 - 74814 ;г. Каховка
;HE-16;74815 - 74865 ;Каховский р-н
;HE-17;74700 - 74742 ;Нижнесерогозский р-н
;HE-18;74900 - 74999 ;г. Новая Каховка
;HE-19;74200 - 74233 ;Нововоронцовский р-н
;HE-20;75300 - 75362 ;Новотроицкий р-н
;HE-21;75700 - 75752 ;Скадовский р-н
;HE-22;75100 - 75145 ;Цюрупинский р-н
;HE-23;75200 - 75245 ;Чаплинкский р-н
;;;ХМЕЛЬНИЦКАЯ ОБЛАСТЬ - UR5T
;HM-01;29000 - 29499 ;г. Хмельницкий
;HM-02;30200 - 30245 ;Белогорский р-н
;HM-03;32500 - 32536 ;Веньковецкий р-н
;HM-04;31200 - 31275 ;Волочиский р-н
;HM-05;32000 - 32067 ;Городокский р-н
;HM-06;32200 - 32265 ;Деражнянский р-н
;HM-07;32400 - 32473 ;Дунаевецкий р-н
;HM-08;30300 - 30375 ;Изяславский р-н
;HM-09;32300 - 32318 ;г. Каменец-Подольский
;HM-10;32319 - 32399 ;Каменец-Подольский р-н
;HM-11;31000 - 31075 ;Красиловский р-н
;HM-12;31500 - 31555 ;Летичевский р-н
;HM-13;30100 - 30199 ;г. Нетишин
;HM-14;32600 - 32665 ;Новоушицкий р-н
;HM-15;30500 - 30545 ;Полонский р-н
;HM-16;30000 - 30013 ;г. Славута
;HM-17;30014 - 30087 ;Славутский р-н
;HM-18;31100 - 31109 ;г. Староконстантинов
;HM-19;31110 - 31183 ;Cтароконстантиновский р-н
;HM-20;31400 - 31445 ;Старосинявский р-н
;HM-21;30600 - 30650 ;Теофипольский р-н
;HM-22;31300 - 31365 ;Хмельницкий р-н
;HM-23;31600 - 31666 ;Чемеровецкий р-н
;HM-24;30400 - 30409 ;г. Шепетовка
;HM-25;30410 - 30457 ;Шепетовский р-н
;HM-26;32100 - 32165 ;Ярмолинецкий р-н
;;;ИВАНО-ФРАНКОВСКАЯ ОБЛАСТЬ - UR5S
;IF-01;76000 - 76499 ;г. Ивано-Франковск
;IF-02;77700 - 77775 ;Богородчанский р-н
;IF-03;;г. Болэхив
;IF-05;78700 - 78745 ;Верховинский р-н
;IF-06;77100 - 77185 ;Галичский р-н
;IF-07;78100 - 78165 ;Городенковский р-н
;IF-08;77500 - 77565 ;Долинский р-н
;IF-09;77300 - 77309 ;г. Калуш
;IF-10;77310 - 77365 ;Калушский р-н
;IF-11;78200 - 78212 ;г.Коломыя
;IF-12;78213 - 78299 ;Коломыйский р-н
;IF-13;78600 - 78660 ;Косовский р-н
;IF-14;78400 - 78465 ;Надворнянский р-н
;IF-15;77000 - 77075 ;Рогатинский р-н
;IF-16;77600 - 77675 ;Рожнятовский р-н
;IF-17;78300 - 78365 ;Снятинский р-н
;IF-18;77400 - 77475 ;Тисменицкий р-н
;IF-19;78000 - 78065 ;Тлумачский р-н
;IF-20;78500 - 78599 ;г. Яремча
;;;КИРОВОГРАДСКАЯ ОБЛАСТЬ - UR5V
;KI-01;25000 - 25491 ;г. Кировоград. Кировский р-н
;KI-02;;г. Кировоград. Ленинский р-н
;KI-03;28000 - 28019 ;г. Александрия
;KI-04;28020 - 28065 ;Александрийский р-н
;KI-05;27300 - 27345 ;Александровский р-н
;KI-06;27200 - 27265 ;Бобринецкий р-н
;KI-07;26600 - 26635 ;Гайворонский р-н
;KI-08;26500 - 26555 ;Голованевский р-н
;KI-09;27000 - 27045 ;Добровеличковский р-н
;KI-10;28500 - 28545 ;Долинский р-н
;KI-11;27400 - 27409 ;г. Знаменка
;KI-12;27410 - 27455 ;Знаменский р-н
;KI-13;27600 – 27660;Кировоградский р-н
;KI-14;28400 - 28435 ;Компаниевский р-н
;KI-15;26200 - 26245 ;Маловисковский р-н
;KI-16;28200 - 28230 ;Новгородковский р-н
;KI-17;26100 - 26155 ;Новоархангельский р-н
;KI-18;26000 - 26045 ;Новомиргородский р-н
;KI-19;27100 - 27170 ;Новоукраинский р-н
;KI-20;26600 - 26635 ;Ольшанский р-н
;KI-21;28100 - 28135 ;Онуфриевский р-н
;KI-22;28300 - 28340 ;Петровский р-н
;KI-23;27500 - 27518 ;г. Светловодск
;KI-24;27519 - 27545 ;Светловодский р-н
;KI-25;26400 - 26445 ;Ульяновский р-н
;KI-26;28600 - 28635 ;Устиновский р-н
;;;КИЕВСКАЯ ОБЛАСТЬ - UR5U
;KO-01;09100 - 09129 ;г. Белая Церковь
;KO-02;07500 - 07565 ;Барышевский р-н
;KO-03;09130 - 09199 ;Белоцерковский р-н
;KO-04;07540 - 07543 ;г. Березань
;KO-05;09700 - 09755 ;Богуславский р-н
;KO-06;08300 - 08318 ;г. Борисполь
;KO-07;08319 - 08365 ;Бориспольский р-н
;KO-08;07800 - 07855 ;Бородянский р-н
;KO-09;07400 - 07409 ;г. Бровары
;KO-10;07410 - 07455 ;Броварский р-н
;KO-11;08600 - 08612 ;г. Васильков
;KO-12;08613 - 08675 ;Васильковский р-н
;KO-13;07300 - 07365 ;Вышгородский р-н
;KO-14;09300 - 09355 ;Володарский р-н
;KO-15;07600 - 07655 ;Згуровский р-н
;KO-16;07200 - 07265 ;Иванковский р-н
;KO-17;08200 - 08299 ;г. Ирпень
;KO-18;09200 - 09265 ;Кагарлыкский р-н
;KO-19;08100 - 08175 ;Киево-Святошинский р-н
;KO-20;08000 - 08075 ;Макаровский р-н
;KO-21;08800 - 08855 ;Мироновский р-н
;KO-22;08700 - 08755 ;Обуховский р-н
;KO-23;08400 - 08409 ;г. Переяслав-Хмельницкий
;KO-24;08410 - 08475 ;Переяслав-Хмельницкий р-н
;KO-25;07000 - 07055 ;Полесский р-н
;KO-26;;г. Припять
;KO-27;09600 - 09645 ;Ракитнянский р-н
;KO-28;9250;г. Ржищев
;KO-29;09000 - 09055 ;Сквирский р-н
;KO-30;09400 - 09445 ;Ставищенский р-н
;KO-31;09500 - 09555 ;Таращанский р-н
;KO-32;09800 - 09855 ;Тетиевский р-н
;KO-33;08500 - 08509 ;г. Фастов
;KO-34;08510 - 08560 ;Фастовский р-н
;KO-35;07700 - 07755 ;Яготинский р-н
;KO-36;08700-08700 ;г. Обухов
;;;РЕСПУБЛИКА КРЫМ - UU1-2-3-4-5-6-7-8-0
;KR-01;95000 - 95490 ;г. Симферополь. Железнодорожный р-н
;KR-02;;г. Симферополь. Киевский р-н
;KR-03;;г. Симферополь. Центральный р-н
;KR-04;98500 - 98545 ;г. Алушта
;KR-05;96012 - 96016 ;г. Армянск
;KR-06;98400 - 98480 ;Бахчисарайский р-н
;KR-07;97600 - 97660 ;Белогорский р-н
;KR-08;96100 - 96114 ;г. Джанкой
;KR-09;96115 - 96190 ;Джанкойский р-н
;KR-10;97400 - 97490 ;г. Евпатория
;KR-11;98300 - 98399 ;г. Керчь
;KR-12;97300 - 97350 ;Кировский р-н
;KR-13;97000 - 97099 ;Красногвардейский р-н
;KR-14;96000 - 96005 ;г. Красноперекопск
;KR-15;96006 - 96050 ;Красноперекопский р-н
;KR-16;98200 - 98250 ;Ленинский р-н
;KR-17;97100 - 97160 ;Нижнегорский р-н
;KR-18;96300 - 96350 ;Первомайский р-н
;KR-19;96200 - 96280 ;Раздольненский р-н
;KR-20;96500 - 96509 ;г. Саки
;KR-21;96510 - 96580 ;Сакский р-н
;KR-22;97500 - 97580 ;Симферопольский р-н
;KR-23;97200 - 97250 ;Советский р-н
;KR-24;98000 - 98035 ;г. Судак
;KR-25;98100 - 98199 ;г. Феодосия
;KR-26;96400 - 96450 ;Черноморский р-н
;KR-27;98600 - 98690 ;г. Ялта
;KR-28;98687   ;Ялтинский р-н
;;;г. КИЕВ - UR5U
;KV-01;;г. Киев. Голосеевский р-н
;KV-02;;г. Киев. Дарницкий р-н
;KV-03;;г. Киев. Деснянский р-н
;KV-04;;г. Киев. Днепровский р-н
;KV-05;;г. Киев. Оболонский р-н
;KV-06;;г. Киев. Печерский р-н
;KV-07;;г. Киев. Подольский р-н
;KV-08;;г. Киев. Святошинский р-н
;KV-09;;г. Киев. Соломенский р-н
;KV-10;;г. Киев. Шевченковский р-н
;;;ЛУГАНСКАЯ ОБЛАСТЬ - UR5M
;LU-01;91000 - 91499 ;г. Луганск. Артемовский р-н
;LU-02;;г. Луганск. Жовтневый р-н
;LU-03;;г. Луганск. Каменобродский р-н
;LU-04;;г. Луганск. Ленинский р-н
;LU-05;94200 - 94299 ;г. Алчевск
;LU-06;94600 - 94619 ;г. Антрацит
;LU-07;94620 - 94695 ;Антрацитовский р-н
;LU-08;92800 - 92835 ;Беловодский р-н
;LU-09;94100 - 94199 ;г. Брянка
;LU-10;92200 - 92253 ;Белокуракинский р-н
;LU-11;93800 - 93899 ;г. Кировск
;LU-12;94400 - 94414 ;г. Краснодон
;LU-13;94415 - 94486 ;Краснодонский р-н
;LU-14;94500 - 94599 ;г. Красный Луч
;LU-15;92900 - 92945 ;Кременской р-н
;LU-16;93100 - 93199 ;г. Лисичанск
;LU-17;92000 - 92045 ;Лутугинский р-н
;LU-18;92400 - 92445 ;Марковский р-н
;LU-19;92500 – 92542;Меловской р-н
;LU-20;93500 - 93543 ;Новоайдарский р-н
;LU-21;92300 - 92355 ;Новопсковский р-н
;LU-22;93200 - 93299 ;г. Первомайск
;LU-23;94300 - 94345 ;Перевальский р-н
;LU-24;93300 - 93355 ;Попаснянский р-н
;LU-25;94700 - 94793 ;г. Ровеньки
;LU-26;93000 - 93099 ;г. Рубежное
;LU-27;92600 - 92655 ;Сватовский р-н
;LU-28;94800 - 94819 ;г. Свердловск
;LU-29;94820 - 94871 ;Свердловский р-н
;LU-30;93400 - 93499 ;г. Северодонецк
;LU-31;93700 - 93747 ;Славяносербский р-н
;LU-32;93600 - 93655 ;Станично-Луганский р-н
;LU-33;92700 - 92765 ;Старобельский р-н
;LU-34;94000 - 94099 ;г. Стаханов
;LU-35;92100 - 92145 ;Троицкий р-н
;;;ЛЬВОВСКАЯ ОБЛАСТЬ - UR5W
;LV-01;79000 - 79499 ;г. Львов. Галицкий р-н
;LV-02;;г. Львов. Железнодорожный р-н
;LV-03;;г. Львов. Лычаковский р-н
;LV-04;;г. Львов. Сиховский р-н
;LV-05;;г. Львов. Франковский р-н
;LV-06;;г. Львов. Шевченковский р-н
;LV-07;82300 - 82399 ;г. Борислав
;LV-08;80600 - 80675 ;Бродовский р-н
;LV-09;80500 - 80565 ;Буский р-н
;LV-10;81500 - 81575 ;Городокский р-н
;LV-11;82100 - 82119 ;г. Дрогобыч
;LV-12;82120 – 82199;Дрогобычский р-н
;LV-13;81700 - 81799 ;Жидачовский р-н
;LV-14;80300 - 80385 ;Жовковский р-н
;LV-15;80700 - 80765 ;Золочевский р-н
;LV-16;80400 - 80470 ;Каменско-Бугский р-н
;LV-17;81600 - 81660 ;Николаевский р-н
;LV-18;81300 - 81385 ;Мостиский р-н
;LV-19;81200 - 81265 ;Перемышлянский р-н
;LV-20;81100 - 81180 ;Пустомытовский р-н
;LV-21;80200 - 80265 ;Радеховский р-н
;LV-22;81400 - 81412 ;г. Самбор
;LV-23;81413 - 81485 ;Самборский р-н
;LV-24;82600 - 82670 ;Сколевский р-н
;LV-25;80000 - 80099 ;Сокальский р-н
;LV-26;82000 - 82099 ;Старосимборский р-н
;LV-27;82400 - 82419 ;г. Стрый
;LV-28;82420 - 82499 ;Стрыйский р-н
;LV-29;82200 - 82299 ;г. Трускавец
;LV-30;82500 - 82570 ;Туркивский р-н
;LV-31;80100 - 80199 ;г. Червоноград
;LV-32;81000 - 81090 ;Яворовский р-н
;LV-33;82482 - 82483 ;г. Моршин
;;;НИКОЛАЕВСКАЯ ОБЛАСТЬ - UR5Z
;NI-01;54000 - 54490 ;г. Николаев. Заводской р-н
;NI-02;54051;г. Николаев. Корабельный р-н
;NI-03;54034;г. Николаев. Ленинский р-н
;NI-04;;г. Николаев. Центральный р-н
;NI-05;55300 - 55355 ;Арбузинский р-н
;NI-06;56100 - 56185 ;Баштанский р-н
;NI-07;57400 - 57465 ;Березанский р-н
;NI-08;56200 - 56255 ;Березнеговатский р-н
;NI-09;55400 - 55455 ;Братский р-н
;NI-10;57000 - 57070 ;Веселиновский р-н
;NI-11;56500 - 56518 ;г. Вознесенск
;NI-12;56519 - 56580 ;Вознесенский р-н
;NI-13;56300 - 56345 ;Врадиевский р-н
;NI-14;56400 - 56470 ;Доманевский р-н
;NI-15;55500 - 55560 ;Еланецкий р-н
;NI-16;57200 - 57290 ;Жовтневый р-н
;NI-17;55600 - 56070 ;Казанковский р-н
;NI-18;55100 - 55165 ;Кривоозерский р-н
;NI-19;57100 - 57165 ;Николаевский р-н
;NI-20;55600 - 55655 ;Новобугский р-н
;NI-21;56600 - 56665 ;Новоодесский р-н
;NI-22;57500 - 57514 ;г. Очаков
;NI-23;57515 - 57555 ;Очаковский р-н
;NI-24;55200 - 55219 ;г. Первомайск
;NI-25;55220 - 55280 ;Первомайский р-н
;NI-26;57300 - 57380 ;Снигуревский р-н
;NI-27;55000 - 55099 ;г. Южноукраинск
;;;ОДЕССКАЯ ОБЛАСТЬ - UR5F
;OD-01;65000 - 65499 ;г. Одесса. (Жовтневый р-н с 1-1-2003 не существует)
;OD-02; ;г. Одесса. (Ильичовский р-н с 1-1-2003 не существует)
;OD-03;;г. Одесса. Киевский р-н
;OD-04;;г. Одесса. (Ленинский р-н с 1-1-2003 не существует)
;OD-05;;г. Одесса. Малиновский р-н
;OD-06;;г. Одесса. Приморский р-н
;OD-07;;г. Одесса. Суворовский р-н
;OD-08;;г. Одесса. (Центральный р-н с 1-1-2003 не существует)
;OD-09;66400 - 66445 ;Ананьевский р-н
;OD-10;68400 - 68455 ;Арцизский р-н
;OD-11;66100 - 66165 ;Балтский р-н
