KR9U,KR9U.NET:23
LU9DA-6,LU9DA.NO-IP.ORG:9000
N0VD-7,CLUSTER.DXCENTRAL.COM:23
N2KI,DXC.N2KI.COM:7300
N2QT,N2QT.NO-IP.COM:23
N4VFF-2,DX.HARWOOD.COM:8000
N4ZKF,DXC.N4ZKF.COM:23
N6WS-2,N6WS.NO-IP.ORG:7302
N6WS-6,N6WS.NO-IP.ORG:7300
N7OD,N7OD.PENTUX.NET:23
N7TR,DXC.N7TR.COM:23
N7TR-1,DXC.N7TR.COM:7373
N7XG-7,N7XG.NO-IP.ORG:7300
N8NM,N8NM.SERVEBEER.COM:23
N9AI,N9AI.NO-IP.ORG:23
N9JR-2,DX.N9JR.COM:7300
N9KT-2,N9KT.HOMENET.ORG:8000
NC7J,DXC.NC7J.COM:23
OE1XHQ,DXCLUSTER.OEVSV.AT:41112
OH1RCF,OH1AB.DY.FI:8000
OH2J,HAM.CONNECT.FI:7300
OK0DXU,OK0NTU.AMPR.CZ:7373
ON0DXK-5,ON0DXK.DYNDNS.ORG:8000
ON0NOL-9,NOLCLUSTER.NO-IP.ORG:9000
OP0P,OP0P.NO-IP.ORG:8000
OZ2DXC,188.176.16.26:8000
OZ5BBS-7,OZ5BBS.NO-IP.ORG:8000
PA1RBZ,PA1RBZ.DYNDNS.ORG:9000
PE1ITR-8,DXC.PE1ITR.COM:7300
PI4CC,DXC.PI4CC.NL:8000
PI5EHV-8,CLAUDIA.ESRAC.ELE.TUE.NL:8000
PI8CDR-7,PI8CDR.HALERBRUG.NL:7000
PI8DXC,PI8DXC.DNSDYNAMIC.COM:41112
PY3NZ-8,DXC.BAEPENDI.COM.BR:8000
PY5JO-11,PY5JO.NO-IP.ORG:8000
RN6BN,RN6BN.73.RU:23
S50ARX,S50ARX.HAMRADIO.SI:7300
S50CLX,S50CLX.INFRAX.SI:41112
S50DXS,S50DXS.ODS.ORG:8000
SK0BU-5,THR-1.MATH.KTH.SE:8000
SM4ONW-14,CLUSTER.SK4BW.NET:8000
SM6YOU-2,SECTOR7.NU:8000
SM7GVF-6,SM7GVF.DYNDNS.ORG:8000
SR1DXZ,WWW.SR1BSZ.AMPR.ORG:9000
SR9DDF-12,157.158.185.199:9000
SR9ZAA-12,195.150.236.250:9000
SV1IW-9,SV1IW.IGNORELIST.COM:7300
SV2HRT-1,SV2HRT.ATH.CX:7300
US6IQ-1,DXC.US6IQ.COM:7300
UT1U,DX.MIXW.NET:7300
VA2BBS-2,VA2BBS.DYNDNS.ORG:8000
VA3MW-7,VA3MW.DXCLUSTER.ORG:41112
VE1CFB,SPARC.NO-IP.INFO:7300
VE2PKT-9,VE2PKT.DYNDNS.ORG:9000
VE3CGR-5,VE3CGR.DYNDNS.ORG:7300
VE3EY-7,DX.FIREROUTE.COM:23
VE3ZIN-2,DXC.VE3ZIN.COM:7300
VE6DXC,DXC.MIDDLEBROOK.CA:8000
VE6TN-7,DXC.MIDDLEBROOK.CA:23
VE7CC-1,VE7CC.NET:23
VE9EMO-9,VE9EMO.GNB.CA:23
W0MU-1,W0MU.NET:23
W0MW,W0MW.DYNIP.COM:23
W1DX,DXUSA.NET:7300
W1NGL-3,W1NGL.NO-IP.ORG:9000
W1NR,DXC.W1NR.NET:23
W1VE,DXC.W1VE.COM:23
W3LPL,DXC.W3LPL.NET:23
W4DXA,W3GQ.NO-IP.COM:23
W4MR,W4MR.TZO.COM:23
W4TO,W4TO.NO-IP.ORG:23
W5LW-3,USRDUDE.WEBHOP.NET:7300
W6CUA,W6CUA.NO-IP.ORG:23
W6KK,W6KK.ZAPTO.ORG:7300
W6RFU,UCSBDX.ECE.UCSB.EDU:7300
W6RK-2,CH.W6RK.COM:7300
W7PKT,W7PKT.NET:7300
W8WTS-1,DXC.W8WTS.NET:23
W8WTS-3,DXC.W8WTS.NET:7373
W9AZ,69.212.234.48:23
W9BG,W9BG.COM:23
W9ODD,W9ODD.BIEN.MU.EDU:23
W9PA,DXC.W9PA.NET:7373
W9YB,W9YB-DX.STUDENT-ORGS.PURDUE.EDU:23
W9ZRX,DXC.W9ZRX.NET:23
W9ZRX-4,DXC.W9ZRX.NET:7373
WA0ROI,WA0ROI.NO-IP.COM:23
WB3FFV-2,DXC.LEADMON.NET:7300
WC2L,DXC.WC2L.COM:23
WD1L,DXC.WD1L.NET:7300
WD4IXD,DXC.WD4IXD.NET:23
WE9R,WE9R.NO-IP.ORG:23
WF5E,WF5E.NO-IP.COM:23
WG9L,WG9L.NO-IP.COM:23
WR3D,WR3D.DXCLUSTER.NET:7300
WR3L,DXC.WR3L.NET:23
WT3Q,WT3Q.GOFRC.ORG:7300
WW1R-9,DXC.WW1R.COM:7300
YV5AJ,YV5AJ.ORG:7000
YV5KXE,YV5KXE.ORG:7300
ZL2AQY-10,OLSON.NET.NZ:9000
ZL2ARN-10,ZL2ARN.ATH.CX:7300
